1971
f14: l1 = 3.77; l2 = 5.18

1988
f1: l1 = 1.97; l2 = 2.45
f2: l1 = 2.02; l2 = 2.57
f3: l1 = 2.11; l2 = 2.89
f4: l1 = 2.30; l2 = 3.23
f5: l1 = 1.75; l2 = 2.28
f6: l1 = 2.57; l2 = 3.17
f7: l1 = 2.07; l2 = 2.90
f8: l1 = 2.19; l2 = 3.38
f9: l1 = 2.14; l2 = 2.97
f10: l1 = 2.06; l2 = 2.76
f11: l1 = 2.25; l2 = 2.94
f12: l1 = 2.44; l2 = 3.14
f13: l1 = 2.48; l2 = 3.17
f14: l1 = 2.28; l2 = 3.22

1989
f1: l1 = 2.95; l2 = 3.98
f2: l1 = 3.76; l2 = 4.91
f3: l1 = 1.99; l2 = 2.50
f4: l1 = 2.09; l2 = 2.69
f5: l1 = 2.27; l2 = 3.50
f6: l1 = 2.70; l2 = 3.80
f7: l1 = 2.83; l2 = 3.77
f8: l1 = 2.80; l2 = 4.24
f9: l1 = 2.73; l2 = 3.98
f10: l1 = 2.79; l2 = 4.58
f11: l1 = 2.02; l2 = 2.67
f12: l1 = 2.54; l2 = 3.39
f13: l1 = 1.88; l2 = 2.59
f14: l1 = 2.72; l2 = 3.53

1990
f1: l1 = 3.76; l2 = 4.84
f2: l1 = 3.77; l2 = 5.26
f3: l1 = 3.15; l2 = 4.56
f4: l1 = 3.22; l2 = 5.28
f5: l1 = 3.35; l2 = 4.26
f6: l1 = 2.10; l2 = 2.80
f7: l1 = 3.36; l2 = 4.84
f8: l1 = 2.27; l2 = 2.89
f9: l1 = 2.19; l2 = 2.89
f10: l1 = 2.11; l2 = 2.82
f11: l1 = 2.21; l2 = 2.85
f12: l1 = 2.00; l2 = 2.66
f13: l1 = 1.95; l2 = 2.62
f14: l1 = 2.31; l2 = 3.08

1991
f1: l1 = 1.76; l2 = 2.54
f2: l1 = 1.91; l2 = 2.32
f3: l1 = 2.73; l2 = 3.57
f4: l1 = 2.69; l2 = 3.62
f5: l1 = 1.65; l2 = 2.02
f6: l1 = 1.82; l2 = 2.22
f7: l1 = 2.04; l2 = 2.78
f8: l1 = 2.12; l2 = 3.23
f9: l1 = 2.30; l2 = 3.47
f10: l1 = 1.85; l2 = 3.05
f11: l1 = 1.80; l2 = 2.64
f12: l1 = 2.03; l2 = 2.93
f13: l1 = 1.89; l2 = 2.76
f14: l1 = 1.60; l2 = 2.11

1992
f1: l1 = 1.21; l2 = 1.55
f2: l1 = 2.10; l2 = 2.52
f3: l1 = 2.96; l2 = 3.90
f4: l1 = 3.16; l2 = 4.26
f5: l1 = 1.98; l2 = 2.48
f6: l1 = 2.15; l2 = 2.61
f7: l1 = 1.71; l2 = 2.25
f8: l1 = 1.97; l2 = 2.30
f9: l1 = 1.87; l2 = 2.27
f10: l1 = 1.71; l2 = 2.28
f11: l1 = 1.60; l2 = 2.03
f12: l1 = 1.88; l2 = 2.44
