1971
f7: l1 = 2.70; l2 = 3.98
f8: l1 = 3.44; l2 = 4.58
f9: l1 = 3.20; l2 = 4.62
f10: l1 = 3.55; l2 = 4.89
f11: l1 = 3.00; l2 = 4.01
f12: l1 = 2.61; l2 = 3.47
f13: l1 = 2.83; l2 = 3.46
f14: l1 = 3.81; l2 = 5.66

1986
f1: l1 = 1.91; l2 = 2.56
f2: l1 = 2.32; l2 = 2.86
f3: l1 = 2.52; l2 = 3.30
f4: l1 = 3.03; l2 = 4.03
f5: l1 = 2.47; l2 = 3.16
f6: l1 = 1.67; l2 = 2.14
f7: l1 = 2.80; l2 = 3.92
f8: l1 = 2.42; l2 = 3.41
f9: l1 = 2.29; l2 = 3.35
f10: l1 = 2.49; l2 = 3.56
f11: l1 = 2.36; l2 = 2.89
f12: l1 = 2.35; l2 = 2.88
f13: l1 = 2.48; l2 = 3.16
f14: l1 = 2.60; l2 = 3.46

1987
f1: l1 = 2.99; l2 = 4.69
f2: l1 = 3.24; l2 = 4.90
f3: l1 = 2.94; l2 = 3.95
f4: l1 = 3.41; l2 = 4.77
f5: l1 = 2.33; l2 = 3.27
f6: l1 = 3.12; l2 = 4.23
f7: l1 = 2.83; l2 = 3.68
f8: l1 = 3.03; l2 = 4.38
f9: l1 = 3.40; l2 = 4.73
f10: l1 = 3.58; l2 = 4.98
f11: l1 = 3.24; l2 = 4.12
f12: l1 = 3.55; l2 = 4.72
f13: l1 = 3.27; l2 = 4.43
f14: l1 = 3.70; l2 = 5.09

1988
f1: l1 = 1.95; l2 = 2.41
f2: l1 = 1.99; l2 = 2.51
f3: l1 = 2.03; l2 = 2.81
f4: l1 = 2.23; l2 = 3.15
f5: l1 = 1.69; l2 = 2.22
f6: l1 = 2.41; l2 = 2.93
f7: l1 = 2.13; l2 = 2.95
f8: l1 = 2.23; l2 = 3.40
f9: l1 = 2.18; l2 = 3.01
f10: l1 = 2.07; l2 = 2.79
f11: l1 = 2.21; l2 = 2.87
f12: l1 = 2.38; l2 = 3.06
f13: l1 = 2.47; l2 = 3.15
f14: l1 = 2.24; l2 = 3.19

1989
f1: l1 = 2.89; l2 = 3.89
f2: l1 = 3.66; l2 = 4.77
f3: l1 = 1.67; l2 = 2.13
f4: l1 = 2.02; l2 = 2.63
f5: l1 = 2.28; l2 = 3.46
f6: l1 = 2.51; l2 = 3.48
f7: l1 = 2.85; l2 = 3.76
f8: l1 = 2.88; l2 = 4.31
f9: l1 = 2.78; l2 = 4.04
f10: l1 = 2.88; l2 = 4.66
f11: l1 = 2.05; l2 = 2.73
f12: l1 = 2.54; l2 = 3.37
f13: l1 = 1.92; l2 = 2.61
f14: l1 = 2.67; l2 = 3.49

1990
f1: l1 = 3.64; l2 = 4.74
f2: l1 = 3.71; l2 = 5.19
f3: l1 = 2.97; l2 = 4.30
f4: l1 = 3.15; l2 = 5.23
f5: l1 = 3.37; l2 = 4.25
f6: l1 = 1.89; l2 = 2.44
f7: l1 = 3.32; l2 = 4.75
f8: l1 = 2.23; l2 = 2.86
f9: l1 = 2.13; l2 = 2.84
f10: l1 = 2.06; l2 = 2.77
f11: l1 = 2.19; l2 = 2.80
f12: l1 = 2.00; l2 = 2.68
f13: l1 = 1.95; l2 = 2.58
f14: l1 = 2.26; l2 = 3.06

1991
f1: l1 = 1.77; l2 = 2.60
f2: l1 = 1.89; l2 = 2.33
f3: l1 = 2.60; l2 = 3.34
f4: l1 = 2.78; l2 = 3.68
f5: l1 = 1.63; l2 = 2.00
f6: l1 = 1.72; l2 = 2.13
f7: l1 = 2.07; l2 = 2.85
f8: l1 = 2.09; l2 = 3.22
f9: l1 = 2.31; l2 = 3.48
f10: l1 = 1.88; l2 = 3.06
f11: l1 = 1.84; l2 = 2.66
f12: l1 = 2.07; l2 = 2.96
f13: l1 = 1.91; l2 = 2.79
f14: l1 = 1.53; l2 = 2.01

1992
f1: l1 = 1.23; l2 = 1.56
f2: l1 = 2.11; l2 = 2.54
f3: l1 = 2.89; l2 = 3.84
f4: l1 = 3.13; l2 = 4.25
f5: l1 = 1.99; l2 = 2.53
f6: l1 = 2.00; l2 = 2.35
f7: l1 = 1.70; l2 = 2.27
f8: l1 = 1.95; l2 = 2.28
f9: l1 = 1.85; l2 = 2.25
f10: l1 = 1.74; l2 = 2.28
f11: l1 = 1.56; l2 = 2.00
f12: l1 = 1.84; l2 = 2.40
f13: l1 = 1.94; l2 = 2.31
f14: l1 = 2.21; l2 = 2.58

1993
f1: l1 = 2.84; l2 = 4.26
f2: l1 = 3.09; l2 = 4.16
f3: l1 = 2.36; l2 = 3.05
f4: l1 = 2.36; l2 = 2.98
f5: l1 = 1.89; l2 = 2.52
f6: l1 = 2.88; l2 = 3.59
f7: l1 = 2.66; l2 = 4.99
f8: l1 = 2.43; l2 = 3.13
f9: l1 = 2.46; l2 = 3.15
f10: l1 = 2.08; l2 = 2.82
f11: l1 = 2.31; l2 = 3.43
f12: l1 = 2.00; l2 = 2.89
f13: l1 = 2.23; l2 = 3.16
f14: l1 = 2.27; l2 = 2.98

1994
f1: l1 = 2.52; l2 = 3.31
f2: l1 = 2.15; l2 = 2.71
f3: l1 = 2.43; l2 = 3.15
f4: l1 = 2.25; l2 = 2.91
f5: l1 = 2.73; l2 = 3.39
f6: l1 = 1.98; l2 = 2.58
f7: l1 = 2.46; l2 = 3.26
f8: l1 = 2.91; l2 = 4.27
f9: l1 = 3.17; l2 = 4.41
f10: l1 = 2.93; l2 = 4.26
f11: l1 = 1.88; l2 = 2.41
f12: l1 = 2.11; l2 = 2.55
f13: l1 = 1.97; l2 = 2.69
f14: l1 = 2.20; l2 = 2.77

1995
f1: l1 = 3.08; l2 = 3.93
f2: l1 = 2.54; l2 = 3.47
f3: l1 = 2.13; l2 = 2.77
f4: l1 = 2.03; l2 = 2.61
f5: l1 = 1.85; l2 = 2.54
f6: l1 = 2.06; l2 = 2.74
f7: l1 = 2.37; l2 = 3.23
f8: l1 = 1.96; l2 = 2.50
f9: l1 = 1.82; l2 = 2.51
f10: l1 = 2.04; l2 = 2.62
f11: l1 = 1.44; l2 = 1.86
f12: l1 = 1.46; l2 = 1.92
f13: l1 = 1.54; l2 = 2.03
f14: l1 = 2.03; l2 = 2.56

1996
f1: l1 = 2.14; l2 = 2.76
f2: l1 = 2.40; l2 = 3.00
f3: l1 = 2.58; l2 = 3.24
f4: l1 = 1.95; l2 = 2.51
f5: l1 = 2.71; l2 = 3.47
f6: l1 = 2.79; l2 = 3.67
f7: l1 = 2.92; l2 = 3.92
f8: l1 = 2.71; l2 = 3.59
f9: l1 = 2.95; l2 = 3.84
f10: l1 = 3.08; l2 = 4.25
f11: l1 = 3.18; l2 = 3.99
f12: l1 = 4.04; l2 = 5.32
f13: l1 = 3.16; l2 = 4.02
f14: l1 = 2.27; l2 = 3.16

1997
f1: l1 = 1.85; l2 = 2.33
f2: l1 = 1.85; l2 = 2.31
f3: l1 = 1.99; l2 = 2.53
f4: l1 = 2.04; l2 = 2.57
f5: l1 = 2.40; l2 = 2.94
f6: l1 = 1.81; l2 = 2.38
f7: l1 = 2.34; l2 = 3.19
f8: l1 = 2.52; l2 = 3.13
f9: l1 = 2.74; l2 = 3.47
f10: l1 = 2.83; l2 = 3.55
f11: l1 = 2.54; l2 = 2.94
f12: l1 = 1.85; l2 = 2.54
f13: l1 = 2.24; l2 = 2.94
f14: l1 = 2.61; l2 = 3.38

1998
f1: l1 = 2.11; l2 = 2.57
f2: l1 = 2.01; l2 = 2.72
f3: l1 = 2.46; l2 = 3.07
f4: l1 = 2.16; l2 = 2.59
f5: l1 = 2.79; l2 = 3.75
f6: l1 = 2.49; l2 = 3.36
f7: l1 = 2.35; l2 = 2.91
f8: l1 = 2.27; l2 = 3.14
f9: l1 = 1.93; l2 = 2.65
f10: l1 = 2.85; l2 = 4.11
f11: l1 = 1.75; l2 = 2.17
f12: l1 = 1.74; l2 = 2.12
f13: l1 = 1.49; l2 = 1.89
f14: l1 = 1.41; l2 = 1.79

1999
f1: l1 = 2.58; l2 = 3.15
f2: l1 = 2.36; l2 = 3.03
f3: l1 = 1.77; l2 = 2.25
f4: l1 = 1.79; l2 = 2.15
f5: l1 = 2.70; l2 = 3.32
f6: l1 = 1.80; l2 = 2.34
f7: l1 = 2.23; l2 = 2.62
f8: l1 = 2.12; l2 = 2.79
f9: l1 = 2.03; l2 = 2.65
f10: l1 = 2.50; l2 = 3.17
f11: l1 = 2.76; l2 = 3.39
f12: l1 = 2.82; l2 = 3.42
f13: l1 = 2.85; l2 = 3.50
f14: l1 = 2.37; l2 = 3.17

2000
f1: l1 = 1.80; l2 = 2.82
f2: l1 = 2.09; l2 = 2.75
f3: l1 = 2.71; l2 = 3.56
f4: l1 = 2.34; l2 = 3.16
f5: l1 = 2.46; l2 = 3.26
f6: l1 = 2.30; l2 = 2.83
f7: l1 = 1.97; l2 = 2.47
f8: l1 = 2.29; l2 = 2.89
f9: l1 = 2.21; l2 = 2.89
f10: l1 = 1.74; l2 = 2.34
f11: l1 = 1.90; l2 = 2.44
f12: l1 = 1.75; l2 = 2.27
